99,0,39.80,37.42,35.13,23.75,0.18,100
142,0,54.36,47.39,48.40,41.26,0.18,100
175,0,55.01,52.10,52.30,46.36,0.18,100
207,0,58.13,52.47,52.23,46.22,0.18,100
240,0,58.13,53.92,54.66,49.53,0.18,100
273,0,67.11,55.48,57.57,52.03,0.18,100
301,0,71.62,68.11,69.10,64.03,0.18,100
323,0,87.30,82.34,87.30,77.25,0.18,100
343,0,87.30,83.44,86.36,78.41,0.18,100
361,0,96.75,86.80,88.87,78.87,0.18,100
382,0,96.75,88.15,92.94,83.03,0.18,100
404,0,107.05,103.14,105.38,93.14,0.18,100
425,0,119.99,113.97,118.47,107.60,0.18,100
444,0,162.14,146.80,153.71,125.65,0.18,100
461,1,174.99,167.34,165.44,144.56,0.18,100
478,1,178.95,168.25,170.87,152.08,0.18,100
495,1,183.09,172.39,182.94,156.52,0.18,100
512,1,188.40,183.34,182.46,163.52,0.18,100
528,1,193.67,183.34,189.04,167.19,0.18,100
545,1,194.16,183.34,192.50,168.11,0.18,100
561,1,194.16,189.81,188.31,168.43,0.18,100
578,1,194.16,189.81,184.65,169.64,0.18,100
595,1,197.91,189.81,196.94,169.78,0.18,100
612,1,198.55,189.81,193.70,167.91,0.18,100
629,1,201.81,192.11,196.26,158.76,0.18,100
646,1,203.27,192.11,196.69,166.53,0.18,100
663,1,214.56,205.65,211.80,172.67,0.18,100
679,2,296.60,215.38,247.91,201.64,0.17,200
694,2,299.04,244.12,295.76,213.83,0.17,200
708,2,379.87,331.43,379.87,249.04,0.17,200
719,2,398.98,331.43,392.24,275.58,0.17,200
728,2,398.98,370.85,387.78,304.22,0.17,200
738,2,399.09,370.85,374.10,313.35,0.17,200
748,2,402.18,370.85,378.15,319.73,0.17,200
758,2,402.18,387.55,395.51,309.17,0.17,200
768,2,402.18,387.55,389.98,328.92,0.17,200
778,2,404.41,387.55,404.41,332.27,0.17,200
788,2,419.89,397.78,412.87,325.08,0.17,200
797,2,425.39,397.78,404.57,332.53,0.17,200
807,3,425.39,407.16,418.98,326.62,0.17,200
817,3,453.67,409.76,431.36,322.55,0.17,200
827,3,453.67,427.96,426.94,342.65,0.17,200
836,3,453.67,427.96,431.30,355.60,0.17,200
846,3,453.67,427.96,435.21,342.76,0.17,200
856,3,453.67,427.96,437.76,353.88,0.17,200
866,3,453.67,433.74,447.85,354.16,0.17,200
875,3,453.67,433.74,423.90,362.92,0.17,200
885,3,473.90,439.34,456.76,344.52,0.17,200
894,3,473.90,439.34,473.68,378.48,0.17,200
904,3,473.90,439.34,445.59,374.53,0.17,200
914,3,479.17,450.16,471.92,384.94,0.17,200
923,4,713.25,695.18,695.70,459.86,0.17,300
930,4,756.08,695.18,684.79,559.81,0.17,300
937,4,756.08,695.18,716.51,549.77,0.17,300
944,4,756.08,695.18,694.24,526.98,0.17,300
951,4,756.08,695.18,716.00,511.80,0.17,300
958,4,756.08,695.18,685.13,556.07,0.17,300
965,4,756.08,695.18,677.75,591.83,0.17,300
972,4,756.08,695.18,710.97,524.58,0.17,300
979,4,756.08,695.18,686.95,514.48,0.17,300
986,4,756.08,695.18,674.60,580.36,0.17,300
993,4,756.08,695.18,731.76,511.81,0.17,300
1000,4,756.08,695.18,699.66,542.45,0.17,300
1007,5,756.08,695.18,705.77,543.12,0.17,300
1014,5,756.08,695.18,670.10,481.13,0.17,300
1021,5,756.08,695.18,704.96,560.81,0.17,300
1028,5,756.08,695.18,724.90,518.39,0.17,300
1035,5,756.08,695.18,677.12,561.08,0.17,300
1042,5,756.08,714.29,678.86,547.89,0.17,300
1049,5,756.08,714.29,720.42,560.46,0.17,300
1056,5,756.08,714.29,697.92,489.65,0.17,300
1063,5,756.08,714.29,657.77,513.26,0.17,300
1070,5,756.08,714.29,699.14,520.35,0.17,300
1077,5,756.08,714.29,667.63,540.10,0.17,300
1084,6,756.08,714.29,677.78,559.84,0.17,300
1090,6,966.70,901.81,940.18,702.50,0.17,400
1096,6,966.70,909.05,900.92,680.03,0.17,400
1101,6,966.70,909.05,919.57,710.02,0.17,400
1107,6,966.70,919.85,949.47,700.48,0.17,400
1112,6,966.70,919.85,902.85,699.33,0.17,400
1117,6,966.70,919.85,914.91,774.08,0.17,400
1123,6,966.70,919.85,942.97,743.85,0.17,400
1129,6,966.70,937.58,909.83,666.49,0.17,400
1135,6,966.70,937.58,925.97,760.42,0.17,400
1141,6,966.70,937.58,936.42,690.27,0.17,400
1147,7,966.70,937.58,918.81,662.04,0.17,400
1153,7,973.15,937.58,938.51,771.46,0.17,400
1158,7,973.15,937.58,961.24,754.62,0.17,400
1163,7,973.15,937.58,939.50,739.67,0.17,400
1169,7,974.83,937.58,939.31,709.12,0.17,400
1174,7,974.83,937.58,920.18,681.41,0.17,400
1179,7,1005.97,937.58,953.48,754.18,0.17,400
1185,7,1005.97,937.58,936.35,658.54,0.17,400
1191,7,1005.97,937.58,960.82,772.48,0.17,400
1196,7,1021.08,937.58,1001.60,766.93,0.17,400
1202,7,1021.08,958.03,967.20,693.74,0.17,400
1208,7,1021.08,958.03,923.70,743.31,0.17,400
1213,8,1228.36,1187.51,1215.38,920.59,0.17,500
1218,8,1234.37,1228.11,1234.37,886.68,0.17,500
1223,8,1318.18,1228.11,1227.50,1011.49,0.17,500
1228,8,1318.18,1228.11,1209.97,1050.51,0.17,500
1233,8,1318.18,1228.11,1248.21,986.06,0.17,500
1238,8,1318.18,1228.11,1249.51,890.37,0.17,500
1243,8,1318.18,1228.11,1220.47,992.15,0.17,500
