Postevauation: Average Fitness 1839.70 Total Steps 733935
Postevauation: Average Fitness 1472.02 Total Steps 745498
Postevauation: Average Fitness 1610.30 Total Steps 746714
Postevauation: Average Fitness 2522.95 Total Steps 931183
Postevauation: Average Fitness 1511.00 Total Steps 726307
Postevauation: Average Fitness 1589.31 Total Steps 626733
Postevauation: Average Fitness 1830.36 Total Steps 741035
Postevauation: Average Fitness 1447.09 Total Steps 566585
Postevauation: Average Fitness 1739.53 Total Steps 719636
Postevauation: Average Fitness 2111.75 Total Steps 813618
